platform,post_id,title,url,publish_date,views,likes,comments
zhihu,zh_001,测试帖 1：平平无奇的知识分享,https://example.com/zh_001,2026-03-10,1016,34,9
zhihu,zh_002,测试帖 2：平平无奇的知识分享,https://example.com/zh_002,2026-02-07,908,37,13
zhihu,zh_003,测试帖 3：平平无奇的知识分享,https://example.com/zh_003,2026-08-13,1163,35,8
zhihu,zh_004,测试帖 4：平平无奇的知识分享,https://example.com/zh_004,2026-08-12,1172,44,6
zhihu,zh_005,测试帖 5：平平无奇的知识分享,https://example.com/zh_005,2026-03-24,864,43,8
zhihu,zh_006,测试帖 6：平平无奇的知识分享,https://example.com/zh_006,2026-02-06,1109,40,8
zhihu,zh_007,测试帖 7：平平无奇的知识分享,https://example.com/zh_007,2026-04-19,1014,31,7
zhihu,zh_008,测试帖 8：平平无奇的知识分享,https://example.com/zh_008,2026-08-10,1248,36,13
zhihu,zh_009,测试帖 9：平平无奇的知识分享,https://example.com/zh_009,2026-02-13,965,34,7
zhihu,zh_010,测试帖 10：平平无奇的知识分享,https://example.com/zh_010,2025-12-12,952,45,13
zhihu,zh_011,测试帖 11：平平无奇的知识分享,https://example.com/zh_011,2026-08-03,889,31,9
zhihu,zh_012,测试帖 12：平平无奇的知识分享,https://example.com/zh_012,2026-04-18,894,31,13
zhihu,zh_013,测试帖 13：平平无奇的知识分享,https://example.com/zh_013,2025-12-11,1250,45,7
zhihu,zh_014,测试帖 14：平平无奇的知识分享,https://example.com/zh_014,2026-03-20,1077,45,7
zhihu,zh_015,测试帖 15：平平无奇的知识分享,https://example.com/zh_015,2026-04-29,1121,29,12
zhihu,zh_016,测试帖 16：平平无奇的知识分享,https://example.com/zh_016,2026-08-26,1160,44,9
zhihu,zh_017,测试帖 17：平平无奇的知识分享,https://example.com/zh_017,2026-02-21,1143,43,12
zhihu,zh_018,测试帖 18：平平无奇的知识分享,https://example.com/zh_018,2026-01-10,1243,40,6
zhihu,zh_019,测试帖 19：平平无奇的知识分享,https://example.com/zh_019,2025-11-18,876,43,6
zhihu,zh_020,测试帖 20：平平无奇的知识分享,https://example.com/zh_020,2026-05-03,1239,41,7
zhihu,zh_021,测试帖 21：平平无奇的知识分享,https://example.com/zh_021,2026-03-12,1108,46,13
zhihu,zh_022,测试帖 22：平平无奇的知识分享,https://example.com/zh_022,2025-11-29,1183,43,7
zhihu,zh_023,测试帖 23：平平无奇的知识分享,https://example.com/zh_023,2026-01-15,1002,44,7
zhihu,zh_024,测试帖 24：平平无奇的知识分享,https://example.com/zh_024,2025-11-09,1098,39,12
