platform,post_id,title,url,publish_date,views,likes,comments
xiaohongshu,xhs_011,全职带娃两年重返职场，面试官问的第一个问题,https://example.com/xhs_011,2026-06-01,9600,640,155
douyin,dy_012,孩子发烧物理降温的正确做法，很多家长第一步就错了,https://example.com/dy_012,2026-07-10,38000,1900,430
xiaohongshu,xhs_019,30 岁转行做设计的真实收入和时间表,https://example.com/xhs_019,2025-11-30,11200,745,188
bilibili,bi_001,设备党别再卷了：够用就行,https://example.com/bi_001,2025-11-29,6200,310,88
bilibili,bi_005,一年省下三千块的平替清单,https://example.com/bi_005,2026-06-24,6600,330,90
xiaohongshu,xhs_008,预算表模板：月光三年后的自救,https://example.com/xhs_008,2026-01-06,3500,180,38
weibo,wb_011,健身房年卡使用率调查,https://example.com/wb_011,2026-08-12,5250,218,44
douyin,dy_017,坏行：日期写错,,去年夏天,8000,400,60
douyin,dy_010,阳台防水自己动手全流程,https://example.com/dy_010,2026-02-02,9300,465,76
weibo,wb_002,地铁上看到的神级带娃操作,https://example.com/wb_002,2026-01-04,4800,195,40
douyin,dy_006,出租屋灯光改造前后,https://example.com/dy_006,2025-12-11,8900,445,71
xiaohongshu,xhs_020,阳台种菜三个月记录,https://example.com/xhs_020,2026-08-01,2550,128,24
xiaohongshu,xhs_019,运动鞋清洗保养全攻略,https://example.com/xhs_019,2026-07-28,2350,118,21
xiaohongshu,xhs_010,咖啡器具入门避坑指南,https://example.com/xhs_010,2026-04-21,2700,135,25
weibo,wb_004,演唱会返场视频为什么让人起鸡皮疙瘩,https://example.com/wb_004,2026-02-19,4600,185,38
xiaohongshu,xhs_017,一次说清公积金怎么用,https://example.com/xhs_017,2026-07-03,3050,155,30
xiaohongshu,xhs_014,租房电费省钱实录,https://example.com/xhs_014,2026-06-01,2050,98,15
douyin,dy_007,菜市场砍价话术实测,https://example.com/dy_007,2025-12-31,7600,380,60
douyin,dy_001,三分钟学会调一家烧烤店的蘸料,https://example.com/dy_001,2025-10-13,8200,410,66
xiaohongshu,xhs_012,旧毛衣改造手作，材料费不到 20 元,https://example.com/xhs_012,2026-05-20,3200,165,33
xiaohongshu,xhs_016,素颜也能出门的底妆思路,https://example.com/xhs_016,2026-06-20,2250,112,19
